REGION,CÓDIGO DANE DEL DEPARTAMENTO,DEPARTAMENTO,CÓDIGO DANE DEL MUNICIPIO,MUNICIPIO
Región Eje Cafetero - Antioquia,5,Antioquia,001,Medellín
Región Eje Cafetero - Antioquia,5,Antioquia,002,Abejorral
Región Eje Cafetero - Antioquia,5,Antioquia,004,Abriaquí
Región Eje Cafetero - Antioquia,5,Antioquia,021,Alejandría
Región Eje Cafetero - Antioquia,5,Antioquia,030,Amagá
Región Eje Cafetero - Antioquia,5,Antioquia,031,Amalfi
Región Eje Cafetero - Antioquia,5,Antioquia,034,Andes
Región Eje Cafetero - Antioquia,5,Antioquia,036,Angelópolis
Región Eje Cafetero - Antioquia,5,Antioquia,038,Angostura
Región Eje Cafetero - Antioquia,5,Antioquia,040,Anorí
Región Centro Oriente,15,Boyacá,832,Tununguá
Región Eje Cafetero - Antioquia,5,Antioquia,044,Anza
Región Eje Cafetero - Antioquia,5,Antioquia,045,Apartadó
Región Eje Cafetero - Antioquia,5,Antioquia,051,Arboletes
Región Eje Cafetero - Antioquia,5,Antioquia,055,Argelia
Región Eje Cafetero - Antioquia,5,Antioquia,059,Armenia
Región Eje Cafetero - Antioquia,5,Antioquia,079,Barbosa
Región Eje Cafetero - Antioquia,5,Antioquia,088,Bello
Región Eje Cafetero - Antioquia,5,Antioquia,091,Betania
Región Eje Cafetero - Antioquia,5,Antioquia,093,Betulia
Región Eje Cafetero - Antioquia,5,Antioquia,101,Ciudad Bolívar
Región Eje Cafetero - Antioquia,5,Antioquia,107,Briceño
Región Eje Cafetero - Antioquia,5,Antioquia,113,Buriticá
Región Eje Cafetero - Antioquia,5,Antioquia,120,Cáceres
Región Eje Cafetero - Antioquia,5,Antioquia,125,Caicedo
Región Eje Cafetero - Antioquia,5,Antioquia,129,Caldas
Región Eje Cafetero - Antioquia,5,Antioquia,134,Campamento
Región Eje Cafetero - Antioquia,5,Antioquia,138,Cañasgordas
Región Eje Cafetero - Antioquia,5,Antioquia,142,Caracolí
Región Eje Cafetero - Antioquia,5,Antioquia,145,Caramanta
Región Eje Cafetero - Antioquia,5,Antioquia,147,Carepa
Región Centro Oriente,15,Boyacá,476,Motavita
Región Eje Cafetero - Antioquia,5,Antioquia,150,Carolina
Región Eje Cafetero - Antioquia,5,Antioquia,154,Caucasia
Región Eje Cafetero - Antioquia,5,Antioquia,172,Chigorodó
Región Eje Cafetero - Antioquia,5,Antioquia,190,Cisneros
Región Eje Cafetero - Antioquia,5,Antioquia,197,Cocorná
Región Eje Cafetero - Antioquia,5,Antioquia,206,Concepción
Región Eje Cafetero - Antioquia,5,Antioquia,209,Concordia
Región Eje Cafetero - Antioquia,5,Antioquia,212,Copacabana
Región Eje Cafetero - Antioquia,5,Antioquia,234,Dabeiba
Región Eje Cafetero - Antioquia,5,Antioquia,237,Don Matías
Región Eje Cafetero - Antioquia,5,Antioquia,240,Ebéjico
Región Eje Cafetero - Antioquia,5,Antioquia,250,El Bagre
Región Eje Cafetero - Antioquia,5,Antioquia,264,Entrerrios
Región Eje Cafetero - Antioquia,5,Antioquia,266,Envigado
Región Eje Cafetero - Antioquia,5,Antioquia,282,Fredonia
Región Caribe,23,Córdoba,675,San Bernardo del Viento
Región Eje Cafetero - Antioquia,5,Antioquia,306,Giraldo
Región Eje Cafetero - Antioquia,5,Antioquia,308,Girardota
Región Eje Cafetero - Antioquia,5,Antioquia,310,Gómez Plata
Región Pacífico,27,Chocó,361,Istmina
Región Eje Cafetero - Antioquia,5,Antioquia,315,Guadalupe
Región Eje Cafetero - Antioquia,5,Antioquia,318,Guarne
Región Eje Cafetero - Antioquia,5,Antioquia,321,Guatapé
Región Eje Cafetero - Antioquia,5,Antioquia,347,Heliconia
Región Eje Cafetero - Antioquia,5,Antioquia,353,Hispania
Región Eje Cafetero - Antioquia,5,Antioquia,360,Itagui
Región Eje Cafetero - Antioquia,5,Antioquia,361,Ituango
Región Eje Cafetero - Antioquia,5,Antioquia,086,Belmira
Región Eje Cafetero - Antioquia,5,Antioquia,368,Jericó
Región Eje Cafetero - Antioquia,5,Antioquia,376,La Ceja
Región Eje Cafetero - Antioquia,5,Antioquia,380,La Estrella
Región Eje Cafetero - Antioquia,5,Antioquia,390,La Pintada
Región Eje Cafetero - Antioquia,5,Antioquia,400,La Unión
Región Eje Cafetero - Antioquia,5,Antioquia,411,Liborina
Región Eje Cafetero - Antioquia,5,Antioquia,425,Maceo
Región Eje Cafetero - Antioquia,5,Antioquia,440,Marinilla
Región Eje Cafetero - Antioquia,5,Antioquia,467,Montebello
Región Eje Cafetero - Antioquia,5,Antioquia,475,Murindó
Región Eje Cafetero - Antioquia,5,Antioquia,480,Mutatá
Región Eje Cafetero - Antioquia,5,Antioquia,483,Nariño
Región Eje Cafetero - Antioquia,5,Antioquia,490,Necoclí
Región Eje Cafetero - Antioquia,5,Antioquia,495,Nechí
Región Eje Cafetero - Antioquia,5,Antioquia,501,Olaya
Región Eje Cafetero - Antioquia,5,Antioquia,541,Peñol
Región Eje Cafetero - Antioquia,5,Antioquia,543,Peque
Región Eje Cafetero - Antioquia,5,Antioquia,576,Pueblorrico
Región Eje Cafetero - Antioquia,5,Antioquia,579,Puerto Berrío
Región Eje Cafetero - Antioquia,5,Antioquia,585,Puerto Nare
Región Eje Cafetero - Antioquia,5,Antioquia,591,Puerto Triunfo
Región Eje Cafetero - Antioquia,5,Antioquia,604,Remedios
Región Eje Cafetero - Antioquia,5,Antioquia,607,Retiro
Región Eje Cafetero - Antioquia,5,Antioquia,615,Rionegro
Región Eje Cafetero - Antioquia,5,Antioquia,628,Sabanalarga
Región Eje Cafetero - Antioquia,5,Antioquia,631,Sabaneta
Región Eje Cafetero - Antioquia,5,Antioquia,642,Salgar
Región Centro Oriente,15,Boyacá,189,Ciénega
Región Pacífico,52,Nariño,699,Santacruz
Región Eje Cafetero - Antioquia,5,Antioquia,652,San Francisco
Región Eje Cafetero - Antioquia,5,Antioquia,656,San Jerónimo
Región Centro Oriente,68,Santander,575,Puerto Wilches
Región Centro Oriente,68,Santander,573,Puerto Parra
Región Eje Cafetero - Antioquia,5,Antioquia,660,San Luis
Región Eje Cafetero - Antioquia,5,Antioquia,664,San Pedro
Región Eje Cafetero - Antioquia,5,Antioquia,667,San Rafael
Región Eje Cafetero - Antioquia,5,Antioquia,670,San Roque
Región Eje Cafetero - Antioquia,5,Antioquia,674,San Vicente
Región Eje Cafetero - Antioquia,5,Antioquia,679,Santa Bárbara
Región Eje Cafetero - Antioquia,5,Antioquia,690,Santo Domingo
Región Eje Cafetero - Antioquia,5,Antioquia,697,El Santuario
Región Eje Cafetero - Antioquia,5,Antioquia,736,Segovia
Región Eje Cafetero - Antioquia,5,Antioquia,761,Sopetrán
Región Llano,50,Meta,370,Uribe
Región Eje Cafetero - Antioquia,5,Antioquia,789,Támesis
Región Eje Cafetero - Antioquia,5,Antioquia,790,Tarazá
Región Eje Cafetero - Antioquia,5,Antioquia,792,Tarso
Región Eje Cafetero - Antioquia,5,Antioquia,809,Titiribí
Región Eje Cafetero - Antioquia,5,Antioquia,819,Toledo
Región Eje Cafetero - Antioquia,5,Antioquia,837,Turbo
Región Eje Cafetero - Antioquia,5,Antioquia,842,Uramita
Región Eje Cafetero - Antioquia,5,Antioquia,847,Urrao
Región Eje Cafetero - Antioquia,5,Antioquia,854,Valdivia
Región Eje Cafetero - Antioquia,5,Antioquia,856,Valparaíso
Región Eje Cafetero - Antioquia,5,Antioquia,858,Vegachí
Región Eje Cafetero - Antioquia,5,Antioquia,861,Venecia
Región Eje Cafetero - Antioquia,5,Antioquia,885,Yalí
Región Eje Cafetero - Antioquia,5,Antioquia,887,Yarumal
Región Eje Cafetero - Antioquia,5,Antioquia,890,Yolombó
Región Eje Cafetero - Antioquia,5,Antioquia,893,Yondó
Región Eje Cafetero - Antioquia,5,Antioquia,895,Zaragoza
Región Caribe,8,Atlántico,001,Barranquilla
Región Caribe,8,Atlántico,078,Baranoa
Región Caribe,8,Atlántico,141,Candelaria
Región Caribe,8,Atlántico,296,Galapa
Región Caribe,8,Atlántico,421,Luruaco
Región Caribe,8,Atlántico,433,Malambo
Región Caribe,8,Atlántico,436,Manatí
Región Caribe,8,Atlántico,549,Piojó
Región Caribe,8,Atlántico,558,Polonuevo
Región Caribe,8,Atlántico,634,Sabanagrande
Región Caribe,8,Atlántico,638,Sabanalarga
Región Caribe,8,Atlántico,675,Santa Lucía
Región Caribe,8,Atlántico,685,Santo Tomás
Región Caribe,8,Atlántico,758,Soledad
Región Caribe,8,Atlántico,770,Suan
Región Caribe,8,Atlántico,832,Tubará
Región Caribe,8,Atlántico,849,Usiacurí
Región Caribe,13,Bolívar,006,Achí
Región Caribe,13,Bolívar,042,Arenal
Región Caribe,13,Bolívar,052,Arjona
Región Caribe,13,Bolívar,062,Arroyohondo
Región Caribe,13,Bolívar,140,Calamar
Región Caribe,13,Bolívar,160,Cantagallo
Región Caribe,13,Bolívar,188,Cicuco
Región Caribe,13,Bolívar,212,Córdoba
Región Caribe,13,Bolívar,222,Clemencia
Región Caribe,13,Bolívar,248,El Guamo
Región Caribe,13,Bolívar,430,Magangué
Región Caribe,13,Bolívar,433,Mahates
Región Caribe,13,Bolívar,440,Margarita
Región Caribe,13,Bolívar,458,Montecristo
Región Caribe,13,Bolívar,468,Mompós
Región Caribe,13,Bolívar,473,Morales
Región Caribe,13,Bolívar,490,Norosí
Región Caribe,13,Bolívar,549,Pinillos
Región Caribe,13,Bolívar,580,Regidor
Región Caribe,13,Bolívar,600,Río Viejo
Región Caribe,13,Bolívar,647,San Estanislao
Región Caribe,13,Bolívar,650,San Fernando
Región Caribe,13,Bolívar,657,San Juan Nepomuceno
Región Caribe,13,Bolívar,673,Santa Catalina
Región Caribe,13,Bolívar,683,Santa Rosa
Región Caribe,13,Bolívar,744,Simití
Región Caribe,13,Bolívar,760,Soplaviento
Región Caribe,13,Bolívar,780,Talaigua Nuevo
Región Caribe,13,Bolívar,810,Tiquisio
Región Caribe,13,Bolívar,836,Turbaco
Región Caribe,13,Bolívar,838,Turbaná
Región Caribe,13,Bolívar,873,Villanueva
Región Centro Oriente,15,Boyacá,001,Tunja
Región Centro Oriente,15,Boyacá,022,Almeida
Región Centro Oriente,15,Boyacá,047,Aquitania
Región Centro Oriente,15,Boyacá,051,Arcabuco
Región Centro Oriente,15,Boyacá,090,Berbeo
Región Centro Oriente,15,Boyacá,092,Betéitiva
Región Centro Oriente,15,Boyacá,097,Boavita
Región Centro Oriente,15,Boyacá,104,Boyacá
Región Centro Oriente,15,Boyacá,106,Briceño
Región Centro Oriente,15,Boyacá,109,Buena Vista
Región Centro Oriente,15,Boyacá,114,Busbanzá
Región Centro Oriente,15,Boyacá,131,Caldas
Región Centro Oriente,15,Boyacá,135,Campohermoso
Región Centro Oriente,15,Boyacá,162,Cerinza
Región Centro Oriente,15,Boyacá,172,Chinavita
Región Centro Oriente,15,Boyacá,176,Chiquinquirá
Región Centro Oriente,15,Boyacá,180,Chiscas
Región Centro Oriente,15,Boyacá,183,Chita
Región Centro Oriente,15,Boyacá,185,Chitaraque
Región Centro Oriente,15,Boyacá,187,Chivatá
Región Centro Oriente,15,Boyacá,204,Cómbita
Región Centro Oriente,15,Boyacá,212,Coper
Región Centro Oriente,15,Boyacá,215,Corrales
Región Centro Oriente,15,Boyacá,218,Covarachía
Región Centro Oriente,15,Boyacá,223,Cubará
Región Centro Oriente,15,Boyacá,224,Cucaita
Región Centro Oriente,15,Boyacá,226,Cuítiva
Región Centro Oriente,15,Boyacá,232,Chíquiza
Región Centro Oriente,15,Boyacá,236,Chivor
Región Centro Oriente,15,Boyacá,238,Duitama
Región Centro Oriente,15,Boyacá,244,El Cocuy
Región Centro Oriente,15,Boyacá,248,El Espino
Región Centro Oriente,15,Boyacá,272,Firavitoba
Región Centro Oriente,15,Boyacá,276,Floresta
Región Centro Oriente,15,Boyacá,293,Gachantivá
Región Centro Oriente,15,Boyacá,296,Gameza
Región Centro Oriente,15,Boyacá,299,Garagoa
Región Centro Oriente,15,Boyacá,317,Guacamayas
Región Centro Oriente,15,Boyacá,322,Guateque
Región Centro Oriente,15,Boyacá,325,Guayatá
Región Centro Oriente,15,Boyacá,332,Güicán
Región Centro Oriente,15,Boyacá,362,Iza
Región Centro Oriente,15,Boyacá,367,Jenesano
Región Centro Oriente,15,Boyacá,368,Jericó
Región Centro Oriente,15,Boyacá,377,Labranzagrande
Región Centro Oriente,15,Boyacá,380,La Capilla
Región Centro Oriente,15,Boyacá,401,La Victoria
Región Centro Oriente,15,Boyacá,425,Macanal
Región Centro Oriente,15,Boyacá,442,Maripí
Región Centro Oriente,15,Boyacá,455,Miraflores
Región Centro Oriente,15,Boyacá,464,Mongua
Región Centro Oriente,15,Boyacá,466,Monguí
Región Centro Oriente,15,Boyacá,469,Moniquirá
Región Centro Oriente,15,Boyacá,480,Muzo
Región Centro Oriente,15,Boyacá,491,Nobsa
Región Centro Oriente,15,Boyacá,494,Nuevo Colón
Región Centro Oriente,15,Boyacá,500,Oicatá
Región Centro Oriente,15,Boyacá,507,Otanche
Región Centro Oriente,15,Boyacá,511,Pachavita
Región Centro Oriente,15,Boyacá,514,Páez
Región Centro Oriente,15,Boyacá,516,Paipa
Región Centro Oriente,15,Boyacá,518,Pajarito
Región Centro Oriente,15,Boyacá,522,Panqueba
Región Centro Oriente,15,Boyacá,531,Pauna
Región Centro Oriente,15,Boyacá,533,Paya
Región Centro Oriente,15,Boyacá,542,Pesca
Región Centro Oriente,15,Boyacá,550,Pisba
Región Centro Oriente,15,Boyacá,572,Puerto Boyacá
Región Centro Oriente,15,Boyacá,580,Quípama
Región Centro Oriente,15,Boyacá,599,Ramiriquí
Región Centro Oriente,15,Boyacá,600,Ráquira
Región Centro Oriente,15,Boyacá,621,Rondón
Región Centro Oriente,15,Boyacá,632,Saboyá
Región Centro Oriente,15,Boyacá,638,Sáchica
Región Centro Oriente,15,Boyacá,646,Samacá
Región Centro Oriente,15,Boyacá,660,San Eduardo
Región Centro Oriente,15,Boyacá,673,San Mateo
Región Centro Oriente,15,Boyacá,686,Santana
Región Centro Oriente,15,Boyacá,690,Santa María
Región Centro Oriente,15,Boyacá,696,Santa Sofía
Región Centro Oriente,15,Boyacá,720,Sativanorte
Región Centro Oriente,15,Boyacá,723,Sativasur
Región Centro Oriente,15,Boyacá,740,Siachoque
Región Centro Oriente,15,Boyacá,753,Soatá
Región Centro Oriente,15,Boyacá,755,Socotá
Región Centro Oriente,15,Boyacá,757,Socha
Región Centro Oriente,15,Boyacá,759,Sogamoso
Región Centro Oriente,15,Boyacá,761,Somondoco
Región Centro Oriente,15,Boyacá,762,Sora
Región Centro Oriente,15,Boyacá,763,Sotaquirá
Región Centro Oriente,15,Boyacá,764,Soracá
Región Centro Oriente,15,Boyacá,774,Susacón
Región Centro Oriente,15,Boyacá,776,Sutamarchán
Región Centro Oriente,15,Boyacá,778,Sutatenza
Región Centro Oriente,15,Boyacá,790,Tasco
Región Centro Oriente,15,Boyacá,798,Tenza
Región Centro Oriente,15,Boyacá,804,Tibaná
Región Centro Oriente,15,Boyacá,808,Tinjacá
Región Centro Oriente,15,Boyacá,810,Tipacoque
Región Centro Oriente,15,Boyacá,814,Toca
Región Centro Oriente,15,Boyacá,820,Tópaga
Región Centro Oriente,15,Boyacá,822,Tota
Región Centro Oriente,15,Boyacá,835,Turmequé
Región Centro Oriente,15,Boyacá,839,Tutazá
Región Centro Oriente,15,Boyacá,842,Umbita
Región Centro Oriente,15,Boyacá,861,Ventaquemada
Región Centro Oriente,15,Boyacá,879,Viracachá
Región Centro Oriente,15,Boyacá,897,Zetaquira
Región Eje Cafetero - Antioquia,17,Caldas,001,Manizales
Región Eje Cafetero - Antioquia,17,Caldas,013,Aguadas
Región Eje Cafetero - Antioquia,17,Caldas,042,Anserma
Región Eje Cafetero - Antioquia,17,Caldas,050,Aranzazu
Región Eje Cafetero - Antioquia,17,Caldas,088,Belalcázar
Región Eje Cafetero - Antioquia,17,Caldas,174,Chinchiná
Región Eje Cafetero - Antioquia,17,Caldas,272,Filadelfia
Región Eje Cafetero - Antioquia,17,Caldas,380,La Dorada
Región Eje Cafetero - Antioquia,17,Caldas,388,La Merced
Región Eje Cafetero - Antioquia,17,Caldas,433,Manzanares
Región Eje Cafetero - Antioquia,17,Caldas,442,Marmato
Región Eje Cafetero - Antioquia,17,Caldas,446,Marulanda
Región Eje Cafetero - Antioquia,17,Caldas,486,Neira
Región Eje Cafetero - Antioquia,17,Caldas,495,Norcasia
Región Eje Cafetero - Antioquia,17,Caldas,513,Pácora
Región Eje Cafetero - Antioquia,17,Caldas,524,Palestina
Región Eje Cafetero - Antioquia,17,Caldas,541,Pensilvania
Región Eje Cafetero - Antioquia,17,Caldas,614,Riosucio
Región Eje Cafetero - Antioquia,17,Caldas,616,Risaralda
Región Eje Cafetero - Antioquia,17,Caldas,653,Salamina
Región Eje Cafetero - Antioquia,17,Caldas,662,Samaná
Región Eje Cafetero - Antioquia,17,Caldas,665,San José
Región Eje Cafetero - Antioquia,17,Caldas,777,Supía
Región Eje Cafetero - Antioquia,17,Caldas,867,Victoria
Región Eje Cafetero - Antioquia,17,Caldas,873,Villamaría
Región Eje Cafetero - Antioquia,17,Caldas,877,Viterbo
Región Centro Sur,18,Caquetá,001,Florencia
Región Centro Sur,18,Caquetá,029,Albania
Región Centro Sur,18,Caquetá,205,Curillo
Región Centro Sur,18,Caquetá,247,El Doncello
Región Centro Sur,18,Caquetá,256,El Paujil
Región Centro Sur,18,Caquetá,479,Morelia
Región Centro Sur,18,Caquetá,592,Puerto Rico
Región Centro Sur,18,Caquetá,756,Solano
Región Centro Sur,18,Caquetá,785,Solita
Región Centro Sur,18,Caquetá,860,Valparaíso
Región Pacífico,19,Cauca,001,Popayán
Región Pacífico,19,Cauca,022,Almaguer
Región Pacífico,19,Cauca,050,Argelia
Región Pacífico,19,Cauca,075,Balboa
Región Pacífico,19,Cauca,100,Bolívar
Región Pacífico,19,Cauca,110,Buenos Aires
Región Pacífico,19,Cauca,130,Cajibío
Región Pacífico,19,Cauca,137,Caldono
Región Pacífico,19,Cauca,142,Caloto
Región Pacífico,19,Cauca,212,Corinto
Región Pacífico,19,Cauca,256,El Tambo
Región Pacífico,19,Cauca,290,Florencia
Región Pacífico,19,Cauca,300,Guachené
Región Pacífico,19,Cauca,318,Guapi
Región Pacífico,19,Cauca,355,Inzá
Región Pacífico,19,Cauca,364,Jambaló
Región Pacífico,19,Cauca,392,La Sierra
Región Pacífico,19,Cauca,397,La Vega
Región Pacífico,19,Cauca,418,López
Región Pacífico,19,Cauca,450,Mercaderes
Región Pacífico,19,Cauca,455,Miranda
Región Pacífico,19,Cauca,473,Morales
Región Pacífico,19,Cauca,513,Padilla
Región Pacífico,19,Cauca,532,Patía
Región Pacífico,19,Cauca,533,Piamonte
Región Pacífico,19,Cauca,548,Piendamó
Región Pacífico,19,Cauca,573,Puerto Tejada
Región Pacífico,19,Cauca,585,Puracé
Región Pacífico,19,Cauca,622,Rosas
Región Pacífico,19,Cauca,701,Santa Rosa
Región Pacífico,19,Cauca,743,Silvia
Región Pacífico,19,Cauca,760,Sotara
Región Pacífico,19,Cauca,780,Suárez
Región Pacífico,19,Cauca,785,Sucre
Región Pacífico,19,Cauca,807,Timbío
Región Pacífico,19,Cauca,809,Timbiquí
Región Pacífico,19,Cauca,821,Toribio
Región Pacífico,19,Cauca,824,Totoró
Región Pacífico,19,Cauca,845,Villa Rica
Región Caribe,20,Cesar,001,Valledupar
Región Caribe,20,Cesar,011,Aguachica
Región Caribe,20,Cesar,013,Agustín Codazzi
Región Caribe,20,Cesar,032,Astrea
Región Caribe,20,Cesar,045,Becerril
Región Caribe,20,Cesar,060,Bosconia
Región Caribe,20,Cesar,175,Chimichagua
Región Caribe,20,Cesar,178,Chiriguaná
Región Caribe,20,Cesar,228,Curumaní
Región Caribe,20,Cesar,238,El Copey
